,Republicans,Independents,Democrats
2007 Mar 23-25,29,36,33
2007 Mar 11-14,31,35,32
2007 Mar 2-4,27,37,35
2007 Feb 9-11,26,41,32
2007 Feb 1-4,26,37,35
2007 Jan 15-18,30,32,36
2007 Jan 12-14,28,40,32
2007 Jan 5-7,27,42,31
2006 Dec 11-14,30,34,35
2006 Dec 8-10,29,36,34
2006 Nov 9-12,24,40,35
2006 Nov 2-5,31,32,34
2006 Oct 20-22,29,34,35
2006 Oct 9-12,28,35,34
2006 Oct 6-8,29,31,38
2006 Sep 15-17,31,34,34
2006 Sep 7-10,30,33,35
2006 Aug 18-20,33,32,34
2006 Aug 7-10,31,31,36
2006 Jul 28-30,32,29,38
2006 Jul 21-23,29,37,33
2006 Jul 6-9,31,33,34
2006 Jun 23-26,26,36,37
2006 Jun 9-11,35,27,37
2006 Jun 1-4,30,35,34
2006 May 12-13,30,36,34
2006 May 8-11,29,35,34
2006 May 5-7,29,37,32
2006 Apr 28-30,30,35,34
2006 Apr 10-13,31,33,35
2006 Apr 7-9,31,33,35
2006 Mar 13-16,28,36,33
2006 Mar 10-12,32,33,34
2006 Feb 28-Mar 1,32,31,35
2006 Feb 9-12,30,39,31
2006 Feb 6-9,33,34,30
2006 Jan 20-22,32,32,34
2006 Jan 9-12,34,34,31
2006 Jan 6-8,34,33,32
2005 Dec 19-22,29,36,32
2005 Dec 16-18,31,36,32
2005 Dec 9-11,30,38,31
2005 Dec 5-8,36,31,31
2005 Nov 17-20,33,30,34
2005 Nov 11-13,31,34,34
2005 Nov 7-10,32,33,33
2005 Oct 28-30,32,37,30
2005 Oct 24-26,33,30,35
2005 Oct 21-23,34,33,33
2005 Oct 13-16,30,33,36
2005 Sep 26-28,32,34,33
2005 Sep 16-18,30,33,36
2005 Sep 12-15,30,37,31
2005 Sep 8-11,33,34,32
2005 Aug 28-30,32,32,35
2005 Aug 22-25,29,34,35
2005 Aug 8-11,33,30,35
2005 Aug 5-7,33,35,31
2005 Jul 25-28,28,37,33
2005 Jul 22-24,32,31,36
2005 Jul 7-10,30,33,35
2005 Jun 29-30,29,31,38
2005 Jun 24-26,33,32,34
2005 Jun 16-19,33,31,34
2005 Jun 6-8,33,34,31
2005 May 23-26,33,34,31
2005 May 20-22,29,33,36
2005 May 2-5,35,30,34
2005 Apr 29-May 1,34,34,31
2005 Apr 18-21,35,29,35
2005 Apr 1-2,35,33,31
2005 Mar 21-23,32,29,37
2005 Mar 18-20,35,31,32
2005 Mar 7-10,35,31,32
2005 Feb 25-27,38,27,34
2005 Feb 21-24,37,31,29
2005 Feb 7-10,34,30,35
2005 Feb 4-6,37,35,28
2005 Jan 14-16,33,36,30
2005 Jan 7-9,35,29,36
2005 Jan 3-5,37,27,35
2004 Dec 17-19,33,30,35
2004 Dec 5-8,37,29,32
2004 Nov 19-21,38,31,30
2004 Nov 7-10,38,27,35
2004 Oct 29-31,34,27,37
2004 Oct 22-24,35,29,36
2004 Oct 14-16,38,29,33
2004 Oct 11-14,33,32,35
2004 Oct 9-10,35,30,34
2004 Oct 1-3,36,27,37
2004 Sep 24-26,39,28,31
2004 Sep 13-15,37,29,33
2004 Sep 3-5,37,29,34
2004 Aug 23-25,35,32,32
2004 Aug 9-11,36,29,34
2004 Jul 30-Aug 1,35,28,36
2004 Jul 19-21,37,28,34
2004 Jul 8-11,35,27,36
2004 Jun 21-23,32,33,34
2004 Jun 3-6,33,31,35
2004 May 21-23,33,31,34
2004 May 7-9,32,32,33
2004 May 2-4,32,31,36
2004 Apr 16-18,32,32,34
2004 Apr 5-8,34,30,34
2004 Mar 26-28,36,30,32
2004 Mar 8-11,31,35,33
2004 Mar 5-7,33,31,35
2004 Feb 16-17,30,39,31
2004 Feb 9-12,32,35,32
2004 Feb 6-8,33,36,30
2004 Jan 29-Feb 1,31,35,33
2004 Jan 12-15,32,33,34
2004 Jan 9-11,33,35,31
2004 Jan 2-5,32,40,28
